standardLat,scope,score,eastScaleErrorPct.p50,eastScaleErrorPct.p95,eastScaleErrorPct.max,shapeDistortionPct.p50,shapeDistortionPct.p95,shapeDistortionPct.max,screenNorthErrorDeg.p95,geoAxisHorizontalShare.p95,widthTiles,heightTiles
46.25,western-russia,23.53356939,30.49403984,62.75618504,67.51702561,30.49403984,62.75618504,67.51702561,0,0,,
46.5,emea,18.80829221,18.78851107,50.15544588,62.3002514,23.13528703,50.15544588,62.3002514,0,0,1038,1137
46.5,iberia,6.42685215,10.79151824,15.29664925,15.74619251,12.09696436,18.05908399,18.68899813,0,0,,
46.5,british-isles,14.35067488,20.01095792,38.26846634,40.72032425,20.01095792,38.26846634,40.72032425,0,0,,
46.5,scandinavia,23.90799979,37.67091514,63.75466611,67.36595202,37.67091514,63.75466611,67.36595202,0,0,,
46.5,central-europe,6.56756984,5.43849127,17.51351958,19.16379645,5.75127379,17.51351958,19.16379645,0,0,,
46.5,mediterranean,8.53097766,12.6465505,19.5735161,20.20759724,14.47744831,24.33715258,25.32521461,0,0,,
46.5,middle-east,12.02226631,19.69425629,25.98019064,26.49919481,24.52409426,35.09896994,36.05293132,0,0,,
46.5,western-russia,23.25479907,29.89800941,62.01279753,66.751893,29.89800941,62.01279753,66.751893,0,0,,
46.75,emea,18.54885243,19.16269202,49.46360648,61.55245496,22.98570172,49.46360648,61.55245496,0,0,1033,1137
46.75,iberia,6.61225428,11.20254524,15.68691892,16.13439091,12.61584048,18.60555766,19.23838756,0,0,,
46.75,british-isles,14.11177352,19.45800889,37.63139606,40.07195706,19.45800889,37.63139606,40.07195706,0,0,,
46.75,scandinavia,23.62506318,37.03659807,63.00016847,66.59481542,37.03659807,63.00016847,66.59481542,0,0,,
46.75,central-europe,6.36452905,5.65666016,16.97207746,18.6147507,5.65666016,16.97207746,18.6147507,0,0,,
46.75,mediterranean,8.72118159,13.04903046,19.94408015,20.57523977,15.00734325,24.91268627,25.90532185,0,0,,
46.75,middle-east,12.22123402,20.06426403,26.32123601,26.83784888,25.10049327,35.72431809,36.68269518,0,0,,
46.75,western-russia,22.97487207,29.2995059,61.26632553,65.98358567,29.2995059,61.26632553,65.98358567,0,0,,
47,emea,18.28834557,19.53841199,48.76892152,60.80158279,22.41408218,48.76892152,60.80158279,0,0,1028,1137
47,iberia,6.79969749,11.61526282,16.07879378,16.52418598,13.14170657,19.15939308,19.79517801,0,0,,
47,british-isles,13.87188955,18.90278555,36.99170547,39.42092311,18.90278555,36.99170547,39.42092311,0,0,,
47,scandinavia,23.34096283,36.39967201,62.24256754,65.8205071,36.39967201,62.24256754,65.8205071,0,0,,
47,central-europe,6.16065314,5.41850811,16.42840836,18.0634467,5.72893069,16.42840836,18.0634467,0,0,,
47,mediterranean,8.91351434,13.45316584,20.31616835,20.94439443,15.54437661,25.49597319,26.49324394,0,0,,
47,middle-east,12.42248315,20.43579363,26.66368412,27.17789585,25.68465716,36.35809054,37.32094283,0,0,,
47,western-russia,22.69379372,28.69854072,60.51678325,65.21211826,28.69854072,60.51678325,65.21211826,0,0,,
47.25,emea,18.02677658,19.91566384,48.0714042,60.04764919,21.84013205,48.0714042,60.04764919,0,0,1024,1137
47.25,iberia,6.98921207,12.02966311,16.47226638,16.91557032,13.67468119,19.7207151,20.35949502,0,0,,
47.25,british-isles,13.63102754,18.34529847,36.34940676,38.76723478,18.34529847,36.34940676,38.76723478,0,0,,
47.25,scandinavia,23.05570416,35.76014911,61.48187775,65.0430418,35.76014911,61.48187775,65.0430418,0,0,,
47.25,central-europe,5.95594599,5.86196248,15.88252264,17.50989494,5.91770551,15.88252264,17.50989494,0,0,,
47.25,mediterranean,9.10800791,13.85894895,20.68977362,21.3150542,16.08866944,26.08714482,27.0891134,0,0,,
47.25,middle-east,12.6260486,20.80883802,27.00752845,27.51932925,26.27671763,37.00043016,37.96781813,0,0,,
47.25,western-russia,22.41156936,28.0951253,59.76418496,64.43750544,28.0951253,59.76418496,64.43750544,0,0,,
47.5,emea,17.76415043,20.29444038,47.37106782,59.29066852,22.36806574,47.37106782,59.29066852,0,0,1019,1137
47.5,iberia,7.18082904,12.44573823,16.86732923,17.30853646,14.21488569,20.28965155,20.93146707,0,0,,
47.5,british-isles,13.38919206,17.78555826,35.70451216,38.11090452,17.78555826,35.70451216,38.11090452,0,0,,
47.5,scandinavia,22.76929259,35.11804152,60.71811358,64.26243431,35.11804152,60.71811358,64.26243431,0,0,,
47.5,central-europe,5.7504115,5.41674435,15.33443068,16.95410596,5.70367729,15.33443068,16.95410596,0,0,,
47.5,mediterranean,9.30469505,14.26637206,21.06488883,21.68721201,16.64034569,26.6863358,27.69306594,0,0,,
47.5,middle-east,12.83196611,21.1833901,27.35276246,27.86214258,26.8768095,37.65148322,38.62346842,0,0,,
47.5,western-russia,22.12820437,27.48927114,59.00854499,63.65976197,27.48927114,59.00854499,63.65976197,0,0,,
47.75,emea,17.50047214,20.6747344,46.66792571,58.53065518,22.95471166,46.66792571,58.53065518,0,0,1014,1137
47.75,iberia,7.37458018,12.86348026,17.2639748,17.70307693,14.76244438,20.86633333,21.51122578,0,0,,
47.75,british-isles,13.14638772,17.22357559,35.05703393,37.45194483,17.22357559,35.05703393,37.45194483,0,0,,
47.75,scandinavia,22.48173358,34.47336149,59.95128956,63.47869951,34.47336149,59.95128956,63.47869951,0,0,,
47.75,central-europe,5.54405359,5.8472903,14.78414291,16.39609035,6.18756259,14.78414291,16.39609035,0,0,,
47.75,mediterranean,9.50360935,14.67542742,21.44150686,22.06086079,17.19953229,27.29368398,28.30524049,0,0,,
47.75,middle-east,13.04027233,21.55944273,27.69937956,28.20632931,27.48507083,38.31139952,39.28804452,0,0,,
